# Wave normal angle (WNA) probability density function of lower band chorus in each MLT bin in figure 5
# WNA (degrees),0<=MLT<1,1<=MLT<2,2<=MLT<3,3<=MLT<4,4<=MLT<5,5<=MLT<6,6<=MLT<7,7<=MLT<8,8<=MLT<9,9<=MLT<10,10<=MLT<11,11<=MLT<12,12<=MLT<13,13<=MLT<14,14<=MLT<15,15<=MLT<16,16<=MLT<17,17<=MLT<18,18<=MLT<19,19<=MLT<20,20<=MLT<21,21<=MLT<22,22<=MLT<23,23<=MLT<24
31.5000,0.0077,0.0073,0.0075,0.0086,0.0094,0.0102,0.0102,0.0071,0.0067,0.0064,0.0055,0.0038,0.0038,0.0033,0.0043,0.0037,0.0034,0.0028,0.0046,0.0079,0.0043,0.0054,0.0057,0.0073
34.5000,0.0062,0.0065,0.0074,0.0077,0.0087,0.0090,0.0080,0.0054,0.0049,0.0048,0.0037,0.0029,0.0027,0.0025,0.0029,0.0026,0.0024,0.0020,0.0035,0.0081,0.0036,0.0043,0.0049,0.0067
37.5000,0.0061,0.0060,0.0070,0.0073,0.0082,0.0079,0.0072,0.0045,0.0038,0.0040,0.0029,0.0020,0.0019,0.0016,0.0023,0.0017,0.0018,0.0014,0.0027,0.0062,0.0040,0.0037,0.0045,0.0058
40.5000,0.0060,0.0066,0.0073,0.0072,0.0084,0.0076,0.0064,0.0044,0.0035,0.0033,0.0022,0.0017,0.0015,0.0011,0.0016,0.0013,0.0015,0.0011,0.0020,0.0031,0.0031,0.0023,0.0039,0.0046
43.5000,0.0060,0.0062,0.0076,0.0079,0.0087,0.0079,0.0066,0.0043,0.0032,0.0030,0.0019,0.0015,0.0012,0.0009,0.0013,0.0010,0.0011,0.0008,0.0016,0.0020,0.0023,0.0023,0.0042,0.0045
46.5000,0.0064,0.0068,0.0085,0.0084,0.0092,0.0083,0.0068,0.0045,0.0029,0.0028,0.0017,0.0014,0.0010,0.0008,0.0010,0.0009,0.0010,0.0008,0.0013,0.0015,0.0019,0.0020,0.0047,0.0052
49.5000,0.0073,0.0079,0.0098,0.0092,0.0097,0.0093,0.0072,0.0052,0.0029,0.0029,0.0015,0.0013,0.0010,0.0007,0.0009,0.0008,0.0007,0.0006,0.0009,0.0012,0.0018,0.0023,0.0060,0.0068
52.5000,0.0084,0.0092,0.0124,0.0121,0.0123,0.0106,0.0081,0.0066,0.0030,0.0028,0.0015,0.0011,0.0008,0.0007,0.0007,0.0008,0.0007,0.0005,0.0008,0.0007,0.0019,0.0029,0.0073,0.0101
55.5000,0.0119,0.0125,0.0153,0.0154,0.0162,0.0129,0.0093,0.0075,0.0035,0.0028,0.0013,0.0010,0.0009,0.0006,0.0005,0.0006,0.0006,0.0004,0.0007,0.0007,0.0022,0.0041,0.0087,0.0122
58.5000,0.0172,0.0166,0.0166,0.0169,0.0194,0.0146,0.0104,0.0078,0.0042,0.0023,0.0011,0.0010,0.0008,0.0004,0.0005,0.0006,0.0008,0.0005,0.0007,0.0010,0.0024,0.0046,0.0097,0.0153
61.5000,0.0258,0.0260,0.0223,0.0191,0.0204,0.0175,0.0107,0.0082,0.0045,0.0018,0.0009,0.0009,0.0007,0.0005,0.0005,0.0007,0.0006,0.0004,0.0008,0.0015,0.0025,0.0062,0.0146,0.0213
64.5000,0.0362,0.0352,0.0305,0.0236,0.0221,0.0174,0.0101,0.0077,0.0038,0.0014,0.0006,0.0008,0.0008,0.0005,0.0005,0.0006,0.0005,0.0005,0.0008,0.0017,0.0034,0.0094,0.0248,0.0280
67.5000,0.0307,0.0285,0.0245,0.0190,0.0173,0.0118,0.0059,0.0042,0.0024,0.0012,0.0006,0.0007,0.0008,0.0004,0.0005,0.0006,0.0005,0.0005,0.0007,0.0017,0.0035,0.0100,0.0219,0.0241
70.5000,0.0159,0.0168,0.0121,0.0088,0.0082,0.0046,0.0022,0.0015,0.0012,0.0011,0.0005,0.0007,0.0008,0.0005,0.0005,0.0006,0.0005,0.0005,0.0006,0.0009,0.0033,0.0062,0.0115,0.0127
73.5000,0.0057,0.0075,0.0042,0.0040,0.0031,0.0015,0.0009,0.0010,0.0008,0.0010,0.0005,0.0007,0.0008,0.0004,0.0006,0.0007,0.0003,0.0006,0.0005,0.0004,0.0018,0.0020,0.0043,0.0048
76.5000,0.0023,0.0024,0.0015,0.0017,0.0009,0.0006,0.0005,0.0006,0.0006,0.0010,0.0005,0.0006,0.0007,0.0004,0.0007,0.0008,0.0004,0.0007,0.0005,0.0004,0.0018,0.0014,0.0014,0.0018
79.5000,0.0022,0.0011,0.0009,0.0009,0.0004,0.0003,0.0005,0.0004,0.0005,0.0009,0.0004,0.0006,0.0006,0.0003,0.0010,0.0007,0.0004,0.0009,0.0004,0.0006,0.0023,0.0011,0.0011,0.0008
82.5000,0.0021,0.0006,0.0006,0.0007,0.0003,0.0002,0.0003,0.0003,0.0003,0.0006,0.0002,0.0003,0.0004,0.0002,0.0010,0.0004,0.0004,0.0009,0.0005,0.0007,0.0023,0.0019,0.0014,0.0008
85.5000,0.0012,0.0003,0.0006,0.0006,0.0003,0.0001,0.0002,0.0001,0.0002,0.0002,0.0001,0.0001,0.0002,0.0002,0.0006,0.0003,0.0003,0.0007,0.0005,0.0009,0.0017,0.0014,0.0017,0.0005
88.5000,0.0003,0.0001,0.0002,0.0002,0.0001,0.0001,0.0001,0.0000,0.0001,0.0001,0.0000,0.0000,0.0001,0.0001,0.0001,0.0001,0.0002,0.0004,0.0002,0.0004,0.0005,0.0004,0.0006,0.0002
