# Average intensity in pT^2 and number of samples in each in each L*/|MLAT| bin in figure 4a
# L*,|MLAT|,Intensity,Counts
5.6500,10.5000,nan,0.0000e+00
5.7500,10.5000,nan,0.0000e+00
5.8500,10.5000,nan,0.0000e+00
5.9500,10.5000,nan,0.0000e+00
0.0500,13.5000,nan,0.0000e+00
0.1500,13.5000,nan,0.0000e+00
0.2500,13.5000,nan,0.0000e+00
0.3500,13.5000,nan,0.0000e+00
0.4500,13.5000,nan,0.0000e+00
0.5500,13.5000,nan,0.0000e+00
0.6500,13.5000,nan,0.0000e+00
0.7500,13.5000,nan,0.0000e+00
0.8500,13.5000,nan,0.0000e+00
0.9500,13.5000,nan,0.0000e+00
1.0500,13.5000,nan,0.0000e+00
1.1500,13.5000,nan,0.0000e+00
1.2500,13.5000,nan,0.0000e+00
1.3500,13.5000,nan,0.0000e+00
1.4500,13.5000,nan,0.0000e+00
1.5500,13.5000,nan,0.0000e+00
1.6500,13.5000,nan,0.0000e+00
1.7500,13.5000,nan,0.0000e+00
1.8500,13.5000,nan,0.0000e+00
1.9500,13.5000,nan,0.0000e+00
2.0500,13.5000,nan,0.0000e+00
2.1500,13.5000,nan,0.0000e+00
2.2500,13.5000,nan,0.0000e+00
2.3500,13.5000,nan,0.0000e+00
2.4500,13.5000,nan,0.0000e+00
2.5500,13.5000,1.0739e+00,1.1100e+02
2.6500,13.5000,1.9544e+00,1.0000e+02
2.7500,13.5000,4.1287e+00,1.0600e+02
2.8500,13.5000,1.0741e+01,1.4500e+02
2.9500,13.5000,2.2440e+01,1.8200e+02
3.0500,13.5000,2.0255e+01,3.2200e+02
3.1500,13.5000,2.1625e+01,2.9500e+02
3.2500,13.5000,4.1139e+01,3.3700e+02
3.3500,13.5000,2.1079e+02,3.3500e+02
3.4500,13.5000,5.6183e+01,3.1600e+02
3.5500,13.5000,6.0279e+01,3.8400e+02
3.6500,13.5000,5.3508e+01,5.0500e+02
3.7500,13.5000,2.8347e+02,6.7500e+02
3.8500,13.5000,1.1592e+03,8.4800e+02
3.9500,13.5000,1.2709e+03,9.0700e+02
4.0500,13.5000,1.4008e+03,9.9500e+02
4.1500,13.5000,1.1909e+03,1.1290e+03
4.2500,13.5000,3.7614e+03,9.5600e+02
4.3500,13.5000,4.4665e+03,1.1810e+03
4.4500,13.5000,2.7779e+03,1.8510e+03
4.5500,13.5000,4.5808e+03,1.8870e+03
4.6500,13.5000,3.6075e+03,1.8740e+03
4.7500,13.5000,3.8644e+03,2.8280e+03
4.8500,13.5000,2.1502e+03,3.7590e+03
4.9500,13.5000,8.0570e+02,2.4960e+03
5.0500,13.5000,9.0327e+02,1.2470e+03
5.1500,13.5000,nan,0.0000e+00
5.2500,13.5000,nan,0.0000e+00
5.3500,13.5000,nan,0.0000e+00
5.4500,13.5000,nan,0.0000e+00
5.5500,13.5000,nan,0.0000e+00
5.6500,13.5000,nan,0.0000e+00
5.7500,13.5000,nan,0.0000e+00
5.8500,13.5000,nan,0.0000e+00
5.9500,13.5000,nan,0.0000e+00
0.0500,16.5000,nan,0.0000e+00
0.1500,16.5000,nan,0.0000e+00
0.2500,16.5000,nan,0.0000e+00
0.3500,16.5000,nan,0.0000e+00
0.4500,16.5000,nan,0.0000e+00
0.5500,16.5000,nan,0.0000e+00
0.6500,16.5000,nan,0.0000e+00
0.7500,16.5000,nan,0.0000e+00
0.8500,16.5000,nan,0.0000e+00
0.9500,16.5000,nan,0.0000e+00
1.0500,16.5000,nan,0.0000e+00
1.1500,16.5000,nan,0.0000e+00
1.2500,16.5000,nan,0.0000e+00
1.3500,16.5000,nan,0.0000e+00
1.4500,16.5000,nan,0.0000e+00
1.5500,16.5000,nan,0.0000e+00
1.6500,16.5000,nan,0.0000e+00
1.7500,16.5000,nan,0.0000e+00
1.8500,16.5000,nan,0.0000e+00
1.9500,16.5000,nan,0.0000e+00
2.0500,16.5000,nan,0.0000e+00
2.1500,16.5000,nan,0.0000e+00
2.2500,16.5000,nan,0.0000e+00
2.3500,16.5000,nan,0.0000e+00
2.4500,16.5000,nan,0.0000e+00
2.5500,16.5000,5.5271e-01,1.0400e+02
2.6500,16.5000,4.0582e+00,1.7100e+02
2.7500,16.5000,7.7314e+00,2.4300e+02
2.8500,16.5000,5.3731e+01,2.6400e+02
2.9500,16.5000,5.3586e+01,3.1900e+02
3.0500,16.5000,5.1935e+01,3.1000e+02
3.1500,16.5000,1.3061e+02,3.0000e+02
3.2500,16.5000,1.9369e+02,3.3200e+02
3.3500,16.5000,4.3598e+01,3.2000e+02
3.4500,16.5000,9.4236e+01,3.4600e+02
3.5500,16.5000,1.9964e+02,3.7600e+02
3.6500,16.5000,4.6791e+02,3.7800e+02
3.7500,16.5000,6.8669e+02,4.1500e+02
3.8500,16.5000,4.2249e+03,5.2600e+02
3.9500,16.5000,1.1771e+03,6.0800e+02
4.0500,16.5000,7.2489e+03,7.5800e+02
4.1500,16.5000,9.9748e+03,8.0100e+02
4.2500,16.5000,3.6114e+03,9.8500e+02
4.3500,16.5000,3.3364e+03,1.2100e+03
4.4500,16.5000,2.6392e+03,1.7360e+03
4.5500,16.5000,2.9000e+03,1.3000e+03
4.6500,16.5000,1.2723e+03,1.3620e+03
4.7500,16.5000,2.7338e+03,1.8030e+03
4.8500,16.5000,3.1318e+03,1.6940e+03
4.9500,16.5000,5.2884e+03,2.8080e+03
5.0500,16.5000,4.4830e+03,3.5450e+03
5.1500,16.5000,nan,0.0000e+00
5.2500,16.5000,nan,0.0000e+00
5.3500,16.5000,nan,0.0000e+00
5.4500,16.5000,nan,0.0000e+00
5.5500,16.5000,nan,0.0000e+00
5.6500,16.5000,nan,0.0000e+00
5.7500,16.5000,nan,0.0000e+00
5.8500,16.5000,nan,0.0000e+00
5.9500,16.5000,nan,0.0000e+00
0.0500,19.5000,nan,0.0000e+00
0.1500,19.5000,nan,0.0000e+00
0.2500,19.5000,nan,0.0000e+00
0.3500,19.5000,nan,0.0000e+00
0.4500,19.5000,nan,0.0000e+00
0.5500,19.5000,nan,0.0000e+00
0.6500,19.5000,nan,0.0000e+00
0.7500,19.5000,nan,0.0000e+00
0.8500,19.5000,nan,0.0000e+00
0.9500,19.5000,nan,0.0000e+00
1.0500,19.5000,nan,0.0000e+00
1.1500,19.5000,nan,0.0000e+00
1.2500,19.5000,nan,0.0000e+00
1.3500,19.5000,nan,0.0000e+00
1.4500,19.5000,nan,0.0000e+00
1.5500,19.5000,nan,0.0000e+00
1.6500,19.5000,nan,0.0000e+00
1.7500,19.5000,nan,0.0000e+00
1.8500,19.5000,nan,0.0000e+00
1.9500,19.5000,nan,0.0000e+00
2.0500,19.5000,nan,0.0000e+00
2.1500,19.5000,nan,0.0000e+00
2.2500,19.5000,nan,0.0000e+00
2.3500,19.5000,nan,0.0000e+00
2.4500,19.5000,nan,0.0000e+00
2.5500,19.5000,4.7478e+00,4.4000e+01
2.6500,19.5000,5.2716e+00,5.9000e+01
2.7500,19.5000,1.5449e+01,5.4000e+01
2.8500,19.5000,1.4577e+01,5.7000e+01
2.9500,19.5000,7.2765e+01,7.4000e+01
3.0500,19.5000,1.5990e+02,1.6200e+02
3.1500,19.5000,2.1396e+03,2.5800e+02
3.2500,19.5000,2.0656e+03,2.7900e+02
3.3500,19.5000,2.2330e+03,3.5700e+02
3.4500,19.5000,4.6774e+03,4.2900e+02
3.5500,19.5000,5.4939e+02,5.0500e+02
3.6500,19.5000,7.3542e+02,5.0100e+02
3.7500,19.5000,1.8428e+03,5.6500e+02
3.8500,19.5000,1.6918e+03,5.4500e+02
3.9500,19.5000,3.5650e+03,5.9100e+02
4.0500,19.5000,4.0215e+03,6.5200e+02
4.1500,19.5000,3.2571e+03,7.0900e+02
4.2500,19.5000,7.9704e+03,8.5900e+02
4.3500,19.5000,1.0167e+04,8.6600e+02
4.4500,19.5000,2.9817e+03,9.6400e+02
4.5500,19.5000,2.6111e+03,1.1970e+03
4.6500,19.5000,2.0620e+03,1.4060e+03
4.7500,19.5000,2.4268e+03,1.6770e+03
4.8500,19.5000,1.8636e+03,2.1710e+03
4.9500,19.5000,2.3802e+03,2.3550e+03
5.0500,19.5000,3.9750e+03,1.4880e+03
5.1500,19.5000,nan,0.0000e+00
5.2500,19.5000,nan,0.0000e+00
5.3500,19.5000,nan,0.0000e+00
5.4500,19.5000,nan,0.0000e+00
5.5500,19.5000,nan,0.0000e+00
5.6500,19.5000,nan,0.0000e+00
5.7500,19.5000,nan,0.0000e+00
5.8500,19.5000,nan,0.0000e+00
5.9500,19.5000,nan,0.0000e+00
0.0500,22.5000,nan,0.0000e+00
0.1500,22.5000,nan,0.0000e+00
0.2500,22.5000,nan,0.0000e+00
0.3500,22.5000,nan,0.0000e+00
0.4500,22.5000,nan,0.0000e+00
0.5500,22.5000,nan,0.0000e+00
0.6500,22.5000,nan,0.0000e+00
0.7500,22.5000,nan,0.0000e+00
0.8500,22.5000,nan,0.0000e+00
0.9500,22.5000,nan,0.0000e+00
1.0500,22.5000,nan,0.0000e+00
1.1500,22.5000,nan,0.0000e+00
1.2500,22.5000,nan,0.0000e+00
1.3500,22.5000,nan,0.0000e+00
1.4500,22.5000,nan,0.0000e+00
1.5500,22.5000,nan,0.0000e+00
1.6500,22.5000,nan,0.0000e+00
1.7500,22.5000,nan,0.0000e+00
1.8500,22.5000,nan,0.0000e+00
1.9500,22.5000,nan,0.0000e+00
2.0500,22.5000,nan,0.0000e+00
2.1500,22.5000,nan,0.0000e+00
2.2500,22.5000,nan,0.0000e+00
2.3500,22.5000,nan,0.0000e+00
2.4500,22.5000,nan,0.0000e+00
2.5500,22.5000,nan,0.0000e+00
2.6500,22.5000,nan,0.0000e+00
2.7500,22.5000,nan,0.0000e+00
2.8500,22.5000,nan,0.0000e+00
2.9500,22.5000,nan,0.0000e+00
3.0500,22.5000,nan,0.0000e+00
3.1500,22.5000,nan,0.0000e+00
3.2500,22.5000,nan,0.0000e+00
3.3500,22.5000,nan,0.0000e+00
3.4500,22.5000,nan,0.0000e+00
3.5500,22.5000,nan,0.0000e+00
3.6500,22.5000,nan,0.0000e+00
3.7500,22.5000,nan,0.0000e+00
3.8500,22.5000,nan,0.0000e+00
3.9500,22.5000,nan,0.0000e+00
4.0500,22.5000,nan,0.0000e+00
4.1500,22.5000,nan,0.0000e+00
4.2500,22.5000,nan,0.0000e+00
4.3500,22.5000,nan,0.0000e+00
4.4500,22.5000,nan,0.0000e+00
4.5500,22.5000,nan,0.0000e+00
4.6500,22.5000,nan,0.0000e+00
4.7500,22.5000,nan,0.0000e+00
4.8500,22.5000,nan,0.0000e+00
4.9500,22.5000,nan,0.0000e+00
5.0500,22.5000,nan,0.0000e+00
5.1500,22.5000,nan,0.0000e+00
5.2500,22.5000,nan,0.0000e+00
5.3500,22.5000,nan,0.0000e+00
5.4500,22.5000,nan,0.0000e+00
5.5500,22.5000,nan,0.0000e+00
5.6500,22.5000,nan,0.0000e+00
5.7500,22.5000,nan,0.0000e+00
5.8500,22.5000,nan,0.0000e+00
5.9500,22.5000,nan,0.0000e+00
0.0500,25.5000,nan,0.0000e+00
0.1500,25.5000,nan,0.0000e+00
0.2500,25.5000,nan,0.0000e+00
0.3500,25.5000,nan,0.0000e+00
0.4500,25.5000,nan,0.0000e+00
0.5500,25.5000,nan,0.0000e+00
0.6500,25.5000,nan,0.0000e+00
0.7500,25.5000,nan,0.0000e+00
0.8500,25.5000,nan,0.0000e+00
0.9500,25.5000,nan,0.0000e+00
1.0500,25.5000,nan,0.0000e+00
1.1500,25.5000,nan,0.0000e+00
1.2500,25.5000,nan,0.0000e+00
1.3500,25.5000,nan,0.0000e+00
1.4500,25.5000,nan,0.0000e+00
1.5500,25.5000,nan,0.0000e+00
1.6500,25.5000,nan,0.0000e+00
1.7500,25.5000,nan,0.0000e+00
1.8500,25.5000,nan,0.0000e+00
1.9500,25.5000,nan,0.0000e+00
2.0500,25.5000,nan,0.0000e+00
2.1500,25.5000,nan,0.0000e+00
2.2500,25.5000,nan,0.0000e+00
2.3500,25.5000,nan,0.0000e+00
2.4500,25.5000,nan,0.0000e+00
2.5500,25.5000,nan,0.0000e+00
2.6500,25.5000,nan,0.0000e+00
2.7500,25.5000,nan,0.0000e+00
2.8500,25.5000,nan,0.0000e+00
2.9500,25.5000,nan,0.0000e+00
3.0500,25.5000,nan,0.0000e+00
3.1500,25.5000,nan,0.0000e+00
3.2500,25.5000,nan,0.0000e+00
3.3500,25.5000,nan,0.0000e+00
3.4500,25.5000,nan,0.0000e+00
3.5500,25.5000,nan,0.0000e+00
3.6500,25.5000,nan,0.0000e+00
3.7500,25.5000,nan,0.0000e+00
3.8500,25.5000,nan,0.0000e+00
3.9500,25.5000,nan,0.0000e+00
4.0500,25.5000,nan,0.0000e+00
4.1500,25.5000,nan,0.0000e+00
4.2500,25.5000,nan,0.0000e+00
4.3500,25.5000,nan,0.0000e+00
4.4500,25.5000,nan,0.0000e+00
4.5500,25.5000,nan,0.0000e+00
4.6500,25.5000,nan,0.0000e+00
4.7500,25.5000,nan,0.0000e+00
4.8500,25.5000,nan,0.0000e+00
4.9500,25.5000,nan,0.0000e+00
5.0500,25.5000,nan,0.0000e+00
5.1500,25.5000,nan,0.0000e+00
5.2500,25.5000,nan,0.0000e+00
5.3500,25.5000,nan,0.0000e+00
5.4500,25.5000,nan,0.0000e+00
5.5500,25.5000,nan,0.0000e+00
5.6500,25.5000,nan,0.0000e+00
5.7500,25.5000,nan,0.0000e+00
5.8500,25.5000,nan,0.0000e+00
5.9500,25.5000,nan,0.0000e+00
0.0500,28.5000,nan,0.0000e+00
0.1500,28.5000,nan,0.0000e+00
0.2500,28.5000,nan,0.0000e+00
0.3500,28.5000,nan,0.0000e+00
0.4500,28.5000,nan,0.0000e+00
0.5500,28.5000,nan,0.0000e+00
0.6500,28.5000,nan,0.0000e+00
0.7500,28.5000,nan,0.0000e+00
0.8500,28.5000,nan,0.0000e+00
0.9500,28.5000,nan,0.0000e+00
1.0500,28.5000,nan,0.0000e+00
1.1500,28.5000,nan,0.0000e+00
1.2500,28.5000,nan,0.0000e+00
1.3500,28.5000,nan,0.0000e+00
1.4500,28.5000,nan,0.0000e+00
1.5500,28.5000,nan,0.0000e+00
1.6500,28.5000,nan,0.0000e+00
1.7500,28.5000,nan,0.0000e+00
1.8500,28.5000,nan,0.0000e+00
1.9500,28.5000,nan,0.0000e+00
2.0500,28.5000,nan,0.0000e+00
2.1500,28.5000,nan,0.0000e+00
2.2500,28.5000,nan,0.0000e+00
2.3500,28.5000,nan,0.0000e+00
2.4500,28.5000,nan,0.0000e+00
2.5500,28.5000,nan,0.0000e+00
2.6500,28.5000,nan,0.0000e+00
2.7500,28.5000,nan,0.0000e+00
2.8500,28.5000,nan,0.0000e+00
2.9500,28.5000,nan,0.0000e+00
3.0500,28.5000,nan,0.0000e+00
3.1500,28.5000,nan,0.0000e+00
3.2500,28.5000,nan,0.0000e+00
3.3500,28.5000,nan,0.0000e+00
3.4500,28.5000,nan,0.0000e+00
3.5500,28.5000,nan,0.0000e+00
3.6500,28.5000,nan,0.0000e+00
3.7500,28.5000,nan,0.0000e+00
3.8500,28.5000,nan,0.0000e+00
3.9500,28.5000,nan,0.0000e+00
4.0500,28.5000,nan,0.0000e+00
4.1500,28.5000,nan,0.0000e+00
4.2500,28.5000,nan,0.0000e+00
4.3500,28.5000,nan,0.0000e+00
4.4500,28.5000,nan,0.0000e+00
4.5500,28.5000,nan,0.0000e+00
4.6500,28.5000,nan,0.0000e+00
4.7500,28.5000,nan,0.0000e+00
4.8500,28.5000,nan,0.0000e+00
4.9500,28.5000,nan,0.0000e+00
5.0500,28.5000,nan,0.0000e+00
5.1500,28.5000,nan,0.0000e+00
5.2500,28.5000,nan,0.0000e+00
5.3500,28.5000,nan,0.0000e+00
5.4500,28.5000,nan,0.0000e+00
5.5500,28.5000,nan,0.0000e+00
5.6500,28.5000,nan,0.0000e+00
5.7500,28.5000,nan,0.0000e+00
5.8500,28.5000,nan,0.0000e+00
5.9500,28.5000,nan,0.0000e+00
0.0500,31.5000,nan,0.0000e+00
0.1500,31.5000,nan,0.0000e+00
0.2500,31.5000,nan,0.0000e+00
0.3500,31.5000,nan,0.0000e+00
0.4500,31.5000,nan,0.0000e+00
0.5500,31.5000,nan,0.0000e+00
0.6500,31.5000,nan,0.0000e+00
0.7500,31.5000,nan,0.0000e+00
0.8500,31.5000,nan,0.0000e+00
0.9500,31.5000,nan,0.0000e+00
1.0500,31.5000,nan,0.0000e+00
1.1500,31.5000,nan,0.0000e+00
1.2500,31.5000,nan,0.0000e+00
1.3500,31.5000,nan,0.0000e+00
