# Average intensity in pT^2 and number of samples in each in each L*/|MLAT| bin in figure 4b
# L*,|MLAT|,Intensity,Counts
5.6500,10.5000,nan,0.0000e+00
5.7500,10.5000,nan,0.0000e+00
5.8500,10.5000,nan,0.0000e+00
5.9500,10.5000,nan,0.0000e+00
0.0500,13.5000,nan,0.0000e+00
0.1500,13.5000,nan,0.0000e+00
0.2500,13.5000,nan,0.0000e+00
0.3500,13.5000,nan,0.0000e+00
0.4500,13.5000,nan,0.0000e+00
0.5500,13.5000,nan,0.0000e+00
0.6500,13.5000,nan,0.0000e+00
0.7500,13.5000,nan,0.0000e+00
0.8500,13.5000,nan,0.0000e+00
0.9500,13.5000,nan,0.0000e+00
1.0500,13.5000,nan,0.0000e+00
1.1500,13.5000,nan,0.0000e+00
1.2500,13.5000,nan,0.0000e+00
1.3500,13.5000,nan,0.0000e+00
1.4500,13.5000,nan,0.0000e+00
1.5500,13.5000,nan,0.0000e+00
1.6500,13.5000,nan,0.0000e+00
1.7500,13.5000,nan,0.0000e+00
1.8500,13.5000,nan,0.0000e+00
1.9500,13.5000,nan,0.0000e+00
2.0500,13.5000,nan,0.0000e+00
2.1500,13.5000,nan,0.0000e+00
2.2500,13.5000,nan,0.0000e+00
2.3500,13.5000,nan,0.0000e+00
2.4500,13.5000,nan,0.0000e+00
2.5500,13.5000,9.9408e+00,9.8200e+02
2.6500,13.5000,4.5405e+01,1.3150e+03
2.7500,13.5000,3.0854e+01,1.5710e+03
2.8500,13.5000,4.6848e+01,1.9050e+03
2.9500,13.5000,7.7263e+01,2.2590e+03
3.0500,13.5000,9.4714e+01,2.7270e+03
3.1500,13.5000,2.9120e+02,3.0720e+03
3.2500,13.5000,3.0814e+02,3.5340e+03
3.3500,13.5000,7.4859e+02,3.9810e+03
3.4500,13.5000,9.8443e+02,4.3250e+03
3.5500,13.5000,9.9496e+02,4.7070e+03
3.6500,13.5000,1.2003e+03,5.2790e+03
3.7500,13.5000,2.1882e+03,6.1110e+03
3.8500,13.5000,2.1795e+03,6.8940e+03
3.9500,13.5000,4.2343e+03,7.5630e+03
4.0500,13.5000,2.2397e+03,8.2370e+03
4.1500,13.5000,2.1863e+03,9.8800e+03
4.2500,13.5000,1.9683e+03,1.1475e+04
4.3500,13.5000,2.2154e+03,1.3488e+04
4.4500,13.5000,1.9656e+03,1.5958e+04
4.5500,13.5000,2.5291e+03,1.8491e+04
4.6500,13.5000,2.8258e+03,2.1551e+04
4.7500,13.5000,2.2581e+03,2.2738e+04
4.8500,13.5000,2.3034e+03,2.0381e+04
4.9500,13.5000,2.6967e+03,1.3577e+04
5.0500,13.5000,4.0479e+03,9.7890e+03
5.1500,13.5000,nan,0.0000e+00
5.2500,13.5000,nan,0.0000e+00
5.3500,13.5000,nan,0.0000e+00
5.4500,13.5000,nan,0.0000e+00
5.5500,13.5000,nan,0.0000e+00
5.6500,13.5000,nan,0.0000e+00
5.7500,13.5000,nan,0.0000e+00
5.8500,13.5000,nan,0.0000e+00
5.9500,13.5000,nan,0.0000e+00
0.0500,16.5000,nan,0.0000e+00
0.1500,16.5000,nan,0.0000e+00
0.2500,16.5000,nan,0.0000e+00
0.3500,16.5000,nan,0.0000e+00
0.4500,16.5000,nan,0.0000e+00
0.5500,16.5000,nan,0.0000e+00
0.6500,16.5000,nan,0.0000e+00
0.7500,16.5000,nan,0.0000e+00
0.8500,16.5000,nan,0.0000e+00
0.9500,16.5000,nan,0.0000e+00
1.0500,16.5000,nan,0.0000e+00
1.1500,16.5000,nan,0.0000e+00
1.2500,16.5000,nan,0.0000e+00
1.3500,16.5000,nan,0.0000e+00
1.4500,16.5000,nan,0.0000e+00
1.5500,16.5000,nan,0.0000e+00
1.6500,16.5000,nan,0.0000e+00
1.7500,16.5000,nan,0.0000e+00
1.8500,16.5000,nan,0.0000e+00
1.9500,16.5000,nan,0.0000e+00
2.0500,16.5000,nan,0.0000e+00
2.1500,16.5000,nan,0.0000e+00
2.2500,16.5000,nan,0.0000e+00
2.3500,16.5000,nan,0.0000e+00
2.4500,16.5000,nan,0.0000e+00
2.5500,16.5000,8.7241e+00,9.8200e+02
2.6500,16.5000,3.8729e+01,1.3150e+03
2.7500,16.5000,2.7160e+01,1.5710e+03
2.8500,16.5000,4.2624e+01,1.9050e+03
2.9500,16.5000,6.9204e+01,2.2590e+03
3.0500,16.5000,8.4484e+01,2.7270e+03
3.1500,16.5000,2.8008e+02,3.0720e+03
3.2500,16.5000,2.9321e+02,3.5340e+03
3.3500,16.5000,7.2827e+02,3.9810e+03
3.4500,16.5000,9.5696e+02,4.3250e+03
3.5500,16.5000,9.6415e+02,4.7070e+03
3.6500,16.5000,1.1727e+03,5.2790e+03
3.7500,16.5000,2.1730e+03,6.1110e+03
3.8500,16.5000,2.2061e+03,6.8940e+03
3.9500,16.5000,4.3194e+03,7.5630e+03
4.0500,16.5000,2.0650e+03,8.2370e+03
4.1500,16.5000,1.9576e+03,9.8800e+03
4.2500,16.5000,1.9144e+03,1.1475e+04
4.3500,16.5000,2.1427e+03,1.3488e+04
4.4500,16.5000,1.9275e+03,1.5958e+04
4.5500,16.5000,2.4822e+03,1.8491e+04
4.6500,16.5000,2.8693e+03,2.1551e+04
4.7500,16.5000,2.1927e+03,2.2738e+04
4.8500,16.5000,2.2251e+03,2.0381e+04
4.9500,16.5000,2.6048e+03,1.3577e+04
5.0500,16.5000,3.8498e+03,9.7890e+03
5.1500,16.5000,nan,0.0000e+00
5.2500,16.5000,nan,0.0000e+00
5.3500,16.5000,nan,0.0000e+00
5.4500,16.5000,nan,0.0000e+00
5.5500,16.5000,nan,0.0000e+00
5.6500,16.5000,nan,0.0000e+00
5.7500,16.5000,nan,0.0000e+00
5.8500,16.5000,nan,0.0000e+00
5.9500,16.5000,nan,0.0000e+00
0.0500,19.5000,nan,0.0000e+00
0.1500,19.5000,nan,0.0000e+00
0.2500,19.5000,nan,0.0000e+00
0.3500,19.5000,nan,0.0000e+00
0.4500,19.5000,nan,0.0000e+00
0.5500,19.5000,nan,0.0000e+00
0.6500,19.5000,nan,0.0000e+00
0.7500,19.5000,nan,0.0000e+00
0.8500,19.5000,nan,0.0000e+00
0.9500,19.5000,nan,0.0000e+00
1.0500,19.5000,nan,0.0000e+00
1.1500,19.5000,nan,0.0000e+00
1.2500,19.5000,nan,0.0000e+00
1.3500,19.5000,nan,0.0000e+00
1.4500,19.5000,nan,0.0000e+00
1.5500,19.5000,nan,0.0000e+00
1.6500,19.5000,nan,0.0000e+00
1.7500,19.5000,nan,0.0000e+00
1.8500,19.5000,nan,0.0000e+00
1.9500,19.5000,nan,0.0000e+00
2.0500,19.5000,nan,0.0000e+00
2.1500,19.5000,nan,0.0000e+00
2.2500,19.5000,nan,0.0000e+00
2.3500,19.5000,nan,0.0000e+00
2.4500,19.5000,nan,0.0000e+00
2.5500,19.5000,7.8167e+00,9.8200e+02
2.6500,19.5000,3.3914e+01,1.3150e+03
2.7500,19.5000,2.5218e+01,1.5710e+03
2.8500,19.5000,4.1236e+01,1.9050e+03
2.9500,19.5000,6.8211e+01,2.2590e+03
3.0500,19.5000,8.0446e+01,2.7270e+03
3.1500,19.5000,2.6967e+02,3.0720e+03
3.2500,19.5000,2.8834e+02,3.5340e+03
3.3500,19.5000,7.3141e+02,3.9810e+03
3.4500,19.5000,9.8588e+02,4.3250e+03
3.5500,19.5000,9.5450e+02,4.7070e+03
3.6500,19.5000,1.1406e+03,5.2790e+03
3.7500,19.5000,2.2093e+03,6.1110e+03
3.8500,19.5000,2.1515e+03,6.8940e+03
3.9500,19.5000,4.2180e+03,7.5630e+03
4.0500,19.5000,1.7800e+03,8.2370e+03
4.1500,19.5000,1.6587e+03,9.8800e+03
4.2500,19.5000,1.6874e+03,1.1475e+04
4.3500,19.5000,1.9038e+03,1.3488e+04
4.4500,19.5000,1.7215e+03,1.5958e+04
4.5500,19.5000,2.2510e+03,1.8491e+04
4.6500,19.5000,2.6939e+03,2.1551e+04
4.7500,19.5000,1.9571e+03,2.2738e+04
4.8500,19.5000,1.9737e+03,2.0381e+04
4.9500,19.5000,2.3087e+03,1.3577e+04
5.0500,19.5000,3.4343e+03,9.7890e+03
5.1500,19.5000,nan,0.0000e+00
5.2500,19.5000,nan,0.0000e+00
5.3500,19.5000,nan,0.0000e+00
5.4500,19.5000,nan,0.0000e+00
5.5500,19.5000,nan,0.0000e+00
5.6500,19.5000,nan,0.0000e+00
5.7500,19.5000,nan,0.0000e+00
5.8500,19.5000,nan,0.0000e+00
5.9500,19.5000,nan,0.0000e+00
0.0500,22.5000,nan,0.0000e+00
0.1500,22.5000,nan,0.0000e+00
0.2500,22.5000,nan,0.0000e+00
0.3500,22.5000,nan,0.0000e+00
0.4500,22.5000,nan,0.0000e+00
0.5500,22.5000,nan,0.0000e+00
0.6500,22.5000,nan,0.0000e+00
0.7500,22.5000,nan,0.0000e+00
0.8500,22.5000,nan,0.0000e+00
0.9500,22.5000,nan,0.0000e+00
1.0500,22.5000,nan,0.0000e+00
1.1500,22.5000,nan,0.0000e+00
1.2500,22.5000,nan,0.0000e+00
1.3500,22.5000,nan,0.0000e+00
1.4500,22.5000,nan,0.0000e+00
1.5500,22.5000,nan,0.0000e+00
1.6500,22.5000,nan,0.0000e+00
1.7500,22.5000,nan,0.0000e+00
1.8500,22.5000,nan,0.0000e+00
1.9500,22.5000,nan,0.0000e+00
2.0500,22.5000,nan,0.0000e+00
2.1500,22.5000,nan,0.0000e+00
2.2500,22.5000,nan,0.0000e+00
2.3500,22.5000,nan,0.0000e+00
2.4500,22.5000,nan,0.0000e+00
2.5500,22.5000,9.6099e+00,9.8200e+02
2.6500,22.5000,3.4302e+01,1.3150e+03
2.7500,22.5000,2.9580e+01,1.5710e+03
2.8500,22.5000,5.3018e+01,1.9050e+03
2.9500,22.5000,8.6363e+01,2.2590e+03
3.0500,22.5000,1.0064e+02,2.7270e+03
3.1500,22.5000,2.8893e+02,3.0720e+03
3.2500,22.5000,2.9702e+02,3.5340e+03
3.3500,22.5000,9.4897e+02,3.9810e+03
3.4500,22.5000,1.0602e+03,4.3250e+03
3.5500,22.5000,1.0540e+03,4.7070e+03
3.6500,22.5000,1.2769e+03,5.2790e+03
3.7500,22.5000,2.4606e+03,6.1110e+03
3.8500,22.5000,2.1326e+03,6.8940e+03
3.9500,22.5000,4.1207e+03,7.5630e+03
4.0500,22.5000,1.4931e+03,8.2370e+03
4.1500,22.5000,1.3454e+03,9.8800e+03
4.2500,22.5000,1.4717e+03,1.1475e+04
4.3500,22.5000,1.7036e+03,1.3488e+04
4.4500,22.5000,1.5005e+03,1.5958e+04
4.5500,22.5000,1.9534e+03,1.8491e+04
4.6500,22.5000,2.4191e+03,2.1551e+04
4.7500,22.5000,1.6812e+03,2.2738e+04
4.8500,22.5000,1.7100e+03,2.0381e+04
4.9500,22.5000,2.0311e+03,1.3577e+04
5.0500,22.5000,3.1629e+03,9.7890e+03
5.1500,22.5000,nan,0.0000e+00
5.2500,22.5000,nan,0.0000e+00
5.3500,22.5000,nan,0.0000e+00
5.4500,22.5000,nan,0.0000e+00
5.5500,22.5000,nan,0.0000e+00
5.6500,22.5000,nan,0.0000e+00
5.7500,22.5000,nan,0.0000e+00
5.8500,22.5000,nan,0.0000e+00
5.9500,22.5000,nan,0.0000e+00
0.0500,25.5000,nan,0.0000e+00
0.1500,25.5000,nan,0.0000e+00
0.2500,25.5000,nan,0.0000e+00
0.3500,25.5000,nan,0.0000e+00
0.4500,25.5000,nan,0.0000e+00
0.5500,25.5000,nan,0.0000e+00
0.6500,25.5000,nan,0.0000e+00
0.7500,25.5000,nan,0.0000e+00
0.8500,25.5000,nan,0.0000e+00
0.9500,25.5000,nan,0.0000e+00
1.0500,25.5000,nan,0.0000e+00
1.1500,25.5000,nan,0.0000e+00
1.2500,25.5000,nan,0.0000e+00
1.3500,25.5000,nan,0.0000e+00
1.4500,25.5000,nan,0.0000e+00
1.5500,25.5000,nan,0.0000e+00
1.6500,25.5000,nan,0.0000e+00
1.7500,25.5000,nan,0.0000e+00
1.8500,25.5000,nan,0.0000e+00
1.9500,25.5000,nan,0.0000e+00
2.0500,25.5000,nan,0.0000e+00
2.1500,25.5000,nan,0.0000e+00
2.2500,25.5000,nan,0.0000e+00
2.3500,25.5000,nan,0.0000e+00
2.4500,25.5000,nan,0.0000e+00
2.5500,25.5000,3.7330e+00,9.8200e+02
2.6500,25.5000,1.2590e+01,1.3150e+03
2.7500,25.5000,1.3031e+01,1.5710e+03
2.8500,25.5000,2.6056e+01,1.9050e+03
2.9500,25.5000,4.5300e+01,2.2590e+03
3.0500,25.5000,5.0957e+01,2.7270e+03
3.1500,25.5000,8.3826e+01,3.0720e+03
3.2500,25.5000,9.9010e+01,3.5340e+03
3.3500,25.5000,4.2723e+02,3.9810e+03
3.4500,25.5000,4.2276e+02,4.3250e+03
3.5500,25.5000,4.7770e+02,4.7070e+03
3.6500,25.5000,6.3903e+02,5.2790e+03
3.7500,25.5000,1.1733e+03,6.1110e+03
3.8500,25.5000,8.3691e+02,6.8940e+03
3.9500,25.5000,1.0397e+03,7.5630e+03
4.0500,25.5000,7.4670e+02,8.2370e+03
4.1500,25.5000,7.0480e+02,9.8800e+03
4.2500,25.5000,8.4045e+02,1.1475e+04
4.3500,25.5000,9.9298e+02,1.3488e+04
4.4500,25.5000,7.9807e+02,1.5958e+04
4.5500,25.5000,1.0444e+03,1.8491e+04
4.6500,25.5000,1.1459e+03,2.1551e+04
4.7500,25.5000,9.6796e+02,2.2738e+04
4.8500,25.5000,9.7689e+02,2.0381e+04
4.9500,25.5000,1.1485e+03,1.3577e+04
5.0500,25.5000,1.7414e+03,9.7890e+03
5.1500,25.5000,nan,0.0000e+00
5.2500,25.5000,nan,0.0000e+00
5.3500,25.5000,nan,0.0000e+00
5.4500,25.5000,nan,0.0000e+00
5.5500,25.5000,nan,0.0000e+00
5.6500,25.5000,nan,0.0000e+00
5.7500,25.5000,nan,0.0000e+00
5.8500,25.5000,nan,0.0000e+00
5.9500,25.5000,nan,0.0000e+00
0.0500,28.5000,nan,0.0000e+00
0.1500,28.5000,nan,0.0000e+00
0.2500,28.5000,nan,0.0000e+00
0.3500,28.5000,nan,0.0000e+00
0.4500,28.5000,nan,0.0000e+00
0.5500,28.5000,nan,0.0000e+00
0.6500,28.5000,nan,0.0000e+00
0.7500,28.5000,nan,0.0000e+00
0.8500,28.5000,nan,0.0000e+00
0.9500,28.5000,nan,0.0000e+00
1.0500,28.5000,nan,0.0000e+00
1.1500,28.5000,nan,0.0000e+00
1.2500,28.5000,nan,0.0000e+00
1.3500,28.5000,nan,0.0000e+00
1.4500,28.5000,nan,0.0000e+00
1.5500,28.5000,nan,0.0000e+00
1.6500,28.5000,nan,0.0000e+00
1.7500,28.5000,nan,0.0000e+00
1.8500,28.5000,nan,0.0000e+00
1.9500,28.5000,nan,0.0000e+00
2.0500,28.5000,nan,0.0000e+00
2.1500,28.5000,nan,0.0000e+00
2.2500,28.5000,nan,0.0000e+00
2.3500,28.5000,nan,0.0000e+00
2.4500,28.5000,nan,0.0000e+00
2.5500,28.5000,3.4708e+00,9.8200e+02
2.6500,28.5000,1.0621e+01,1.3150e+03
2.7500,28.5000,1.1641e+01,1.5710e+03
2.8500,28.5000,2.4040e+01,1.9050e+03
2.9500,28.5000,4.2320e+01,2.2590e+03
3.0500,28.5000,4.7483e+01,2.7270e+03
3.1500,28.5000,7.4499e+01,3.0720e+03
3.2500,28.5000,8.8806e+01,3.5340e+03
3.3500,28.5000,4.0558e+02,3.9810e+03
3.4500,28.5000,3.8969e+02,4.3250e+03
3.5500,28.5000,4.3444e+02,4.7070e+03
3.6500,28.5000,5.7730e+02,5.2790e+03
3.7500,28.5000,1.0753e+03,6.1110e+03
3.8500,28.5000,7.2580e+02,6.8940e+03
3.9500,28.5000,8.5978e+02,7.5630e+03
4.0500,28.5000,5.7289e+02,8.2370e+03
4.1500,28.5000,5.2420e+02,9.8800e+03
4.2500,28.5000,6.6066e+02,1.1475e+04
4.3500,28.5000,8.1528e+02,1.3488e+04
4.4500,28.5000,6.2812e+02,1.5958e+04
4.5500,28.5000,8.3330e+02,1.8491e+04
4.6500,28.5000,8.9759e+02,2.1551e+04
4.7500,28.5000,7.5864e+02,2.2738e+04
4.8500,28.5000,8.2929e+02,2.0381e+04
4.9500,28.5000,9.8019e+02,1.3577e+04
5.0500,28.5000,1.4968e+03,9.7890e+03
5.1500,28.5000,nan,0.0000e+00
5.2500,28.5000,nan,0.0000e+00
5.3500,28.5000,nan,0.0000e+00
5.4500,28.5000,nan,0.0000e+00
5.5500,28.5000,nan,0.0000e+00
