# Average intensity in pT^2 and number of samples in each in each L*/|MLAT| bin in figure 4d
# L*,|MLAT|,Intensity,Counts
5.6500,10.5000,nan,0.0000e+00
5.7500,10.5000,nan,0.0000e+00
5.8500,10.5000,nan,0.0000e+00
5.9500,10.5000,nan,0.0000e+00
0.0500,13.5000,nan,0.0000e+00
0.1500,13.5000,nan,0.0000e+00
0.2500,13.5000,nan,0.0000e+00
0.3500,13.5000,nan,0.0000e+00
0.4500,13.5000,nan,0.0000e+00
0.5500,13.5000,nan,0.0000e+00
0.6500,13.5000,nan,0.0000e+00
0.7500,13.5000,nan,0.0000e+00
0.8500,13.5000,nan,0.0000e+00
0.9500,13.5000,nan,0.0000e+00
1.0500,13.5000,nan,0.0000e+00
1.1500,13.5000,nan,0.0000e+00
1.2500,13.5000,nan,0.0000e+00
1.3500,13.5000,nan,0.0000e+00
1.4500,13.5000,nan,0.0000e+00
1.5500,13.5000,nan,0.0000e+00
1.6500,13.5000,nan,0.0000e+00
1.7500,13.5000,nan,0.0000e+00
1.8500,13.5000,nan,0.0000e+00
1.9500,13.5000,nan,0.0000e+00
2.0500,13.5000,nan,0.0000e+00
2.1500,13.5000,nan,0.0000e+00
2.2500,13.5000,nan,0.0000e+00
2.3500,13.5000,nan,0.0000e+00
2.4500,13.5000,nan,0.0000e+00
2.5500,13.5000,0.0000e+00,9.8200e+02
2.6500,13.5000,0.0000e+00,1.3150e+03
2.7500,13.5000,0.0000e+00,1.5710e+03
2.8500,13.5000,0.0000e+00,1.9050e+03
2.9500,13.5000,0.0000e+00,2.2590e+03
3.0500,13.5000,3.5476e-01,2.7270e+03
3.1500,13.5000,2.9530e+00,3.0720e+03
3.2500,13.5000,7.7317e+00,3.5340e+03
3.3500,13.5000,3.5045e+01,3.9810e+03
3.4500,13.5000,8.0129e+01,4.3250e+03
3.5500,13.5000,6.5971e+01,4.7070e+03
3.6500,13.5000,1.2628e+02,5.2790e+03
3.7500,13.5000,1.6857e+02,6.1110e+03
3.8500,13.5000,1.1253e+02,6.8940e+03
3.9500,13.5000,1.3160e+02,7.5630e+03
4.0500,13.5000,8.0878e+01,8.2370e+03
4.1500,13.5000,4.4463e+01,9.8800e+03
4.2500,13.5000,5.2928e+01,1.1475e+04
4.3500,13.5000,4.2811e+01,1.3488e+04
4.4500,13.5000,3.6743e+01,1.5958e+04
4.5500,13.5000,4.9242e+01,1.8491e+04
4.6500,13.5000,5.4784e+01,2.1551e+04
4.7500,13.5000,3.0742e+01,2.2738e+04
4.8500,13.5000,7.9550e+01,2.0381e+04
4.9500,13.5000,3.4712e+01,1.3577e+04
5.0500,13.5000,2.6201e+01,9.7890e+03
5.1500,13.5000,nan,0.0000e+00
5.2500,13.5000,nan,0.0000e+00
5.3500,13.5000,nan,0.0000e+00
5.4500,13.5000,nan,0.0000e+00
5.5500,13.5000,nan,0.0000e+00
5.6500,13.5000,nan,0.0000e+00
5.7500,13.5000,nan,0.0000e+00
5.8500,13.5000,nan,0.0000e+00
5.9500,13.5000,nan,0.0000e+00
0.0500,16.5000,nan,0.0000e+00
0.1500,16.5000,nan,0.0000e+00
0.2500,16.5000,nan,0.0000e+00
0.3500,16.5000,nan,0.0000e+00
0.4500,16.5000,nan,0.0000e+00
0.5500,16.5000,nan,0.0000e+00
0.6500,16.5000,nan,0.0000e+00
0.7500,16.5000,nan,0.0000e+00
0.8500,16.5000,nan,0.0000e+00
0.9500,16.5000,nan,0.0000e+00
1.0500,16.5000,nan,0.0000e+00
1.1500,16.5000,nan,0.0000e+00
1.2500,16.5000,nan,0.0000e+00
1.3500,16.5000,nan,0.0000e+00
1.4500,16.5000,nan,0.0000e+00
1.5500,16.5000,nan,0.0000e+00
1.6500,16.5000,nan,0.0000e+00
1.7500,16.5000,nan,0.0000e+00
1.8500,16.5000,nan,0.0000e+00
1.9500,16.5000,nan,0.0000e+00
2.0500,16.5000,nan,0.0000e+00
2.1500,16.5000,nan,0.0000e+00
2.2500,16.5000,nan,0.0000e+00
2.3500,16.5000,nan,0.0000e+00
2.4500,16.5000,nan,0.0000e+00
2.5500,16.5000,0.0000e+00,9.8200e+02
2.6500,16.5000,0.0000e+00,1.3150e+03
2.7500,16.5000,0.0000e+00,1.5710e+03
2.8500,16.5000,0.0000e+00,1.9050e+03
2.9500,16.5000,0.0000e+00,2.2590e+03
3.0500,16.5000,1.7127e-01,2.7270e+03
3.1500,16.5000,1.4314e+00,3.0720e+03
3.2500,16.5000,4.3682e+00,3.5340e+03
3.3500,16.5000,1.9665e+01,3.9810e+03
3.4500,16.5000,4.2952e+01,4.3250e+03
3.5500,16.5000,3.6988e+01,4.7070e+03
3.6500,16.5000,8.2228e+01,5.2790e+03
3.7500,16.5000,1.2554e+02,6.1110e+03
3.8500,16.5000,7.7535e+01,6.8940e+03
3.9500,16.5000,1.1097e+02,7.5630e+03
4.0500,16.5000,4.7716e+01,8.2370e+03
4.1500,16.5000,2.4144e+01,9.8800e+03
4.2500,16.5000,3.5021e+01,1.1475e+04
4.3500,16.5000,2.9049e+01,1.3488e+04
4.4500,16.5000,2.4579e+01,1.5958e+04
4.5500,16.5000,3.4705e+01,1.8491e+04
4.6500,16.5000,4.2404e+01,2.1551e+04
4.7500,16.5000,2.0338e+01,2.2738e+04
4.8500,16.5000,5.1013e+01,2.0381e+04
4.9500,16.5000,2.5590e+01,1.3577e+04
5.0500,16.5000,1.9871e+01,9.7890e+03
5.1500,16.5000,nan,0.0000e+00
5.2500,16.5000,nan,0.0000e+00
5.3500,16.5000,nan,0.0000e+00
5.4500,16.5000,nan,0.0000e+00
5.5500,16.5000,nan,0.0000e+00
5.6500,16.5000,nan,0.0000e+00
5.7500,16.5000,nan,0.0000e+00
5.8500,16.5000,nan,0.0000e+00
5.9500,16.5000,nan,0.0000e+00
0.0500,19.5000,nan,0.0000e+00
0.1500,19.5000,nan,0.0000e+00
0.2500,19.5000,nan,0.0000e+00
0.3500,19.5000,nan,0.0000e+00
0.4500,19.5000,nan,0.0000e+00
0.5500,19.5000,nan,0.0000e+00
0.6500,19.5000,nan,0.0000e+00
0.7500,19.5000,nan,0.0000e+00
0.8500,19.5000,nan,0.0000e+00
0.9500,19.5000,nan,0.0000e+00
1.0500,19.5000,nan,0.0000e+00
1.1500,19.5000,nan,0.0000e+00
1.2500,19.5000,nan,0.0000e+00
1.3500,19.5000,nan,0.0000e+00
1.4500,19.5000,nan,0.0000e+00
1.5500,19.5000,nan,0.0000e+00
1.6500,19.5000,nan,0.0000e+00
1.7500,19.5000,nan,0.0000e+00
1.8500,19.5000,nan,0.0000e+00
1.9500,19.5000,nan,0.0000e+00
2.0500,19.5000,nan,0.0000e+00
2.1500,19.5000,nan,0.0000e+00
2.2500,19.5000,nan,0.0000e+00
2.3500,19.5000,nan,0.0000e+00
2.4500,19.5000,nan,0.0000e+00
2.5500,19.5000,0.0000e+00,9.8200e+02
2.6500,19.5000,0.0000e+00,1.3150e+03
2.7500,19.5000,0.0000e+00,1.5710e+03
2.8500,19.5000,0.0000e+00,1.9050e+03
2.9500,19.5000,0.0000e+00,2.2590e+03
3.0500,19.5000,6.5739e-02,2.7270e+03
3.1500,19.5000,5.5842e-01,3.0720e+03
3.2500,19.5000,2.0158e+00,3.5340e+03
3.3500,19.5000,9.5825e+00,3.9810e+03
3.4500,19.5000,2.0474e+01,4.3250e+03
3.5500,19.5000,1.9499e+01,4.7070e+03
3.6500,19.5000,4.9027e+01,5.2790e+03
3.7500,19.5000,8.3167e+01,6.1110e+03
3.8500,19.5000,5.0279e+01,6.8940e+03
3.9500,19.5000,8.8000e+01,7.5630e+03
4.0500,19.5000,4.4737e+01,8.2370e+03
4.1500,19.5000,2.1589e+01,9.8800e+03
4.2500,19.5000,3.1468e+01,1.1475e+04
4.3500,19.5000,2.6647e+01,1.3488e+04
4.4500,19.5000,2.1784e+01,1.5958e+04
4.5500,19.5000,3.1435e+01,1.8491e+04
4.6500,19.5000,3.8051e+01,2.1551e+04
4.7500,19.5000,1.8161e+01,2.2738e+04
4.8500,19.5000,4.8177e+01,2.0381e+04
4.9500,19.5000,2.3781e+01,1.3577e+04
5.0500,19.5000,1.8517e+01,9.7890e+03
5.1500,19.5000,nan,0.0000e+00
5.2500,19.5000,nan,0.0000e+00
5.3500,19.5000,nan,0.0000e+00
5.4500,19.5000,nan,0.0000e+00
5.5500,19.5000,nan,0.0000e+00
5.6500,19.5000,nan,0.0000e+00
5.7500,19.5000,nan,0.0000e+00
5.8500,19.5000,nan,0.0000e+00
5.9500,19.5000,nan,0.0000e+00
0.0500,22.5000,nan,0.0000e+00
0.1500,22.5000,nan,0.0000e+00
0.2500,22.5000,nan,0.0000e+00
0.3500,22.5000,nan,0.0000e+00
0.4500,22.5000,nan,0.0000e+00
0.5500,22.5000,nan,0.0000e+00
0.6500,22.5000,nan,0.0000e+00
0.7500,22.5000,nan,0.0000e+00
0.8500,22.5000,nan,0.0000e+00
0.9500,22.5000,nan,0.0000e+00
1.0500,22.5000,nan,0.0000e+00
1.1500,22.5000,nan,0.0000e+00
1.2500,22.5000,nan,0.0000e+00
1.3500,22.5000,nan,0.0000e+00
1.4500,22.5000,nan,0.0000e+00
1.5500,22.5000,nan,0.0000e+00
1.6500,22.5000,nan,0.0000e+00
1.7500,22.5000,nan,0.0000e+00
1.8500,22.5000,nan,0.0000e+00
1.9500,22.5000,nan,0.0000e+00
2.0500,22.5000,nan,0.0000e+00
2.1500,22.5000,nan,0.0000e+00
2.2500,22.5000,nan,0.0000e+00
2.3500,22.5000,nan,0.0000e+00
2.4500,22.5000,nan,0.0000e+00
2.5500,22.5000,0.0000e+00,9.8200e+02
2.6500,22.5000,0.0000e+00,1.3150e+03
2.7500,22.5000,0.0000e+00,1.5710e+03
2.8500,22.5000,0.0000e+00,1.9050e+03
2.9500,22.5000,0.0000e+00,2.2590e+03
3.0500,22.5000,2.3586e-02,2.7270e+03
3.1500,22.5000,1.9758e-01,3.0720e+03
3.2500,22.5000,8.0169e-01,3.5340e+03
3.3500,22.5000,4.1775e+00,3.9810e+03
3.4500,22.5000,8.3566e+00,4.3250e+03
3.5500,22.5000,6.9548e+00,4.7070e+03
3.6500,22.5000,1.7058e+01,5.2790e+03
3.7500,22.5000,3.3503e+01,6.1110e+03
3.8500,22.5000,2.1423e+01,6.8940e+03
3.9500,22.5000,3.9907e+01,7.5630e+03
4.0500,22.5000,3.7392e+01,8.2370e+03
4.1500,22.5000,1.9242e+01,9.8800e+03
4.2500,22.5000,2.8505e+01,1.1475e+04
4.3500,22.5000,2.3615e+01,1.3488e+04
4.4500,22.5000,1.9505e+01,1.5958e+04
4.5500,22.5000,2.7995e+01,1.8491e+04
4.6500,22.5000,3.4324e+01,2.1551e+04
4.7500,22.5000,1.6139e+01,2.2738e+04
4.8500,22.5000,4.1241e+01,2.0381e+04
4.9500,22.5000,2.0997e+01,1.3577e+04
5.0500,22.5000,1.6349e+01,9.7890e+03
5.1500,22.5000,nan,0.0000e+00
5.2500,22.5000,nan,0.0000e+00
5.3500,22.5000,nan,0.0000e+00
5.4500,22.5000,nan,0.0000e+00
5.5500,22.5000,nan,0.0000e+00
5.6500,22.5000,nan,0.0000e+00
5.7500,22.5000,nan,0.0000e+00
5.8500,22.5000,nan,0.0000e+00
5.9500,22.5000,nan,0.0000e+00
0.0500,25.5000,nan,0.0000e+00
0.1500,25.5000,nan,0.0000e+00
0.2500,25.5000,nan,0.0000e+00
0.3500,25.5000,nan,0.0000e+00
0.4500,25.5000,nan,0.0000e+00
0.5500,25.5000,nan,0.0000e+00
0.6500,25.5000,nan,0.0000e+00
0.7500,25.5000,nan,0.0000e+00
0.8500,25.5000,nan,0.0000e+00
0.9500,25.5000,nan,0.0000e+00
1.0500,25.5000,nan,0.0000e+00
1.1500,25.5000,nan,0.0000e+00
1.2500,25.5000,nan,0.0000e+00
1.3500,25.5000,nan,0.0000e+00
1.4500,25.5000,nan,0.0000e+00
1.5500,25.5000,nan,0.0000e+00
1.6500,25.5000,nan,0.0000e+00
1.7500,25.5000,nan,0.0000e+00
1.8500,25.5000,nan,0.0000e+00
1.9500,25.5000,nan,0.0000e+00
2.0500,25.5000,nan,0.0000e+00
2.1500,25.5000,nan,0.0000e+00
2.2500,25.5000,nan,0.0000e+00
2.3500,25.5000,nan,0.0000e+00
2.4500,25.5000,nan,0.0000e+00
2.5500,25.5000,0.0000e+00,9.8200e+02
2.6500,25.5000,0.0000e+00,1.3150e+03
2.7500,25.5000,0.0000e+00,1.5710e+03
2.8500,25.5000,0.0000e+00,1.9050e+03
2.9500,25.5000,0.0000e+00,2.2590e+03
3.0500,25.5000,2.1667e-02,2.7270e+03
3.1500,25.5000,1.7884e-01,3.0720e+03
3.2500,25.5000,5.2166e-01,3.5340e+03
3.3500,25.5000,2.0566e+00,3.9810e+03
3.4500,25.5000,4.5982e+00,4.3250e+03
3.5500,25.5000,4.8802e+00,4.7070e+03
3.6500,25.5000,1.0344e+01,5.2790e+03
3.7500,25.5000,1.8693e+01,6.1110e+03
3.8500,25.5000,1.0704e+01,6.8940e+03
3.9500,25.5000,2.4560e+01,7.5630e+03
4.0500,25.5000,3.0076e+01,8.2370e+03
4.1500,25.5000,1.8982e+01,9.8800e+03
4.2500,25.5000,2.7965e+01,1.1475e+04
4.3500,25.5000,2.2415e+01,1.3488e+04
4.4500,25.5000,1.8669e+01,1.5958e+04
4.5500,25.5000,2.6099e+01,1.8491e+04
4.6500,25.5000,3.4026e+01,2.1551e+04
4.7500,25.5000,1.5863e+01,2.2738e+04
4.8500,25.5000,3.3261e+01,2.0381e+04
4.9500,25.5000,1.8022e+01,1.3577e+04
5.0500,25.5000,1.4324e+01,9.7890e+03
5.1500,25.5000,nan,0.0000e+00
5.2500,25.5000,nan,0.0000e+00
5.3500,25.5000,nan,0.0000e+00
5.4500,25.5000,nan,0.0000e+00
5.5500,25.5000,nan,0.0000e+00
5.6500,25.5000,nan,0.0000e+00
5.7500,25.5000,nan,0.0000e+00
5.8500,25.5000,nan,0.0000e+00
5.9500,25.5000,nan,0.0000e+00
0.0500,28.5000,nan,0.0000e+00
0.1500,28.5000,nan,0.0000e+00
0.2500,28.5000,nan,0.0000e+00
0.3500,28.5000,nan,0.0000e+00
0.4500,28.5000,nan,0.0000e+00
0.5500,28.5000,nan,0.0000e+00
0.6500,28.5000,nan,0.0000e+00
0.7500,28.5000,nan,0.0000e+00
0.8500,28.5000,nan,0.0000e+00
0.9500,28.5000,nan,0.0000e+00
1.0500,28.5000,nan,0.0000e+00
1.1500,28.5000,nan,0.0000e+00
1.2500,28.5000,nan,0.0000e+00
1.3500,28.5000,nan,0.0000e+00
1.4500,28.5000,nan,0.0000e+00
1.5500,28.5000,nan,0.0000e+00
1.6500,28.5000,nan,0.0000e+00
1.7500,28.5000,nan,0.0000e+00
1.8500,28.5000,nan,0.0000e+00
1.9500,28.5000,nan,0.0000e+00
2.0500,28.5000,nan,0.0000e+00
2.1500,28.5000,nan,0.0000e+00
2.2500,28.5000,nan,0.0000e+00
2.3500,28.5000,nan,0.0000e+00
2.4500,28.5000,nan,0.0000e+00
2.5500,28.5000,0.0000e+00,9.8200e+02
2.6500,28.5000,0.0000e+00,1.3150e+03
2.7500,28.5000,0.0000e+00,1.5710e+03
2.8500,28.5000,0.0000e+00,1.9050e+03
2.9500,28.5000,0.0000e+00,2.2590e+03
3.0500,28.5000,2.1912e-02,2.7270e+03
3.1500,28.5000,1.8107e-01,3.0720e+03
3.2500,28.5000,5.2080e-01,3.5340e+03
3.3500,28.5000,1.9866e+00,3.9810e+03
3.4500,28.5000,4.4638e+00,4.3250e+03
3.5500,28.5000,4.6611e+00,4.7070e+03
3.6500,28.5000,9.9801e+00,5.2790e+03
3.7500,28.5000,1.7298e+01,6.1110e+03
3.8500,28.5000,9.6404e+00,6.8940e+03
3.9500,28.5000,2.0449e+01,7.5630e+03
4.0500,28.5000,4.5891e+01,8.2370e+03
4.1500,28.5000,2.7429e+01,9.8800e+03
4.2500,28.5000,4.0620e+01,1.1475e+04
4.3500,28.5000,3.0949e+01,1.3488e+04
4.4500,28.5000,2.8888e+01,1.5958e+04
4.5500,28.5000,3.9309e+01,1.8491e+04
4.6500,28.5000,4.8581e+01,2.1551e+04
4.7500,28.5000,2.2389e+01,2.2738e+04
4.8500,28.5000,4.9925e+01,2.0381e+04
4.9500,28.5000,2.7794e+01,1.3577e+04
5.0500,28.5000,2.0800e+01,9.7890e+03
5.1500,28.5000,nan,0.0000e+00
5.2500,28.5000,nan,0.0000e+00
5.3500,28.5000,nan,0.0000e+00
5.4500,28.5000,nan,0.0000e+00
5.5500,28.5000,nan,0.0000e+00
