# Drift and bounce averaged energy diffusion coefficients in s^(-1) in figure 16d for E = 50.0keV, L* = 4.5 and Kp = 5
# Pitch Angle, 2.01 <= fpe/fce < 2.53, 2.53 <= fpe/fce < 3.19, 3.19 <= fpe/fce < 4.03, 4.03 <= fpe/fce < 5.08, 5.08 <= fpe/fce < 6.40, 6.40 <= fpe/fce < 8.08, 8.08 <= fpe/fce < 10.19, 10.19 <= fpe/fce < 12.85, 12.85 <= fpe/fce < 16.20, Average over fpe/fce
44.2560,8.6234e-06,1.1257e-04,2.6024e-05,2.2156e-05,1.6564e-05,1.0431e-05,1.7900e-06,2.3070e-07,4.9147e-07,2.6665e-05
45.2500,8.5282e-06,1.1664e-04,2.6963e-05,2.2589e-05,1.7513e-05,1.1195e-05,1.9354e-06,2.3925e-07,4.9957e-07,2.7215e-05
46.2440,8.3553e-06,1.2037e-04,2.7959e-05,2.3079e-05,1.8519e-05,1.2020e-05,2.1083e-06,2.5055e-07,5.0762e-07,2.7746e-05
47.2390,8.0931e-06,1.2362e-04,2.9053e-05,2.3607e-05,1.9515e-05,1.2912e-05,2.5332e-06,2.6245e-07,5.1676e-07,2.8455e-05
48.2330,7.8614e-06,1.2643e-04,3.0239e-05,2.4239e-05,2.0486e-05,1.3813e-05,3.5395e-06,2.7271e-07,5.2095e-07,2.9660e-05
49.2280,7.5307e-06,1.2862e-04,3.1513e-05,2.5086e-05,2.1485e-05,1.4747e-05,3.8900e-06,2.8657e-07,5.1449e-07,3.0171e-05
50.2220,7.0524e-06,1.3000e-04,3.2922e-05,2.6063e-05,2.2503e-05,1.5740e-05,4.2207e-06,2.9274e-07,5.1099e-07,3.0581e-05
51.2170,6.4453e-06,1.3023e-04,3.4481e-05,2.7205e-05,2.3599e-05,1.6799e-05,4.6236e-06,3.2684e-07,4.9528e-07,3.1103e-05
52.2110,5.7801e-06,1.2887e-04,3.5833e-05,2.8364e-05,2.4743e-05,1.7957e-05,5.0693e-06,3.1491e-07,4.8370e-07,3.1975e-05
53.2060,5.1525e-06,1.2550e-04,3.7267e-05,2.9130e-05,2.5957e-05,1.9211e-05,4.5260e-06,3.3194e-07,4.7332e-07,3.0786e-05
54.2000,4.4607e-06,1.2051e-04,3.8808e-05,2.9595e-05,2.7132e-05,2.0507e-05,4.7469e-06,3.6012e-07,4.9419e-07,3.0736e-05
55.1940,3.8337e-06,1.1342e-04,4.0498e-05,3.0051e-05,2.8116e-05,2.1904e-05,5.3765e-06,3.7981e-07,4.9036e-07,3.1044e-05
56.1890,3.2707e-06,1.0533e-04,4.2271e-05,3.0511e-05,2.8846e-05,2.3399e-05,5.9970e-06,4.0539e-07,4.9347e-07,3.1408e-05
57.1830,2.7436e-06,9.6896e-05,4.4054e-05,3.0856e-05,2.9270e-05,2.5049e-05,6.7859e-06,4.4901e-07,5.2378e-07,3.1772e-05
58.1780,2.3834e-06,8.7977e-05,4.5861e-05,3.1026e-05,2.9120e-05,2.6931e-05,7.7332e-06,4.7914e-07,5.0766e-07,3.2246e-05
59.1720,2.1669e-06,7.8688e-05,4.7724e-05,3.1175e-05,2.8305e-05,2.8731e-05,8.8865e-06,5.5697e-07,5.0485e-07,3.2444e-05
60.1670,1.7242e-06,6.9274e-05,4.9225e-05,3.1385e-05,2.7307e-05,3.0544e-05,9.9030e-06,5.8712e-07,4.9649e-07,3.2005e-05
61.1610,1.3391e-06,5.9963e-05,4.9730e-05,3.1605e-05,2.6306e-05,3.2493e-05,1.0789e-05,6.5199e-07,4.9864e-07,3.2272e-05
62.1560,8.8604e-07,5.0447e-05,5.0062e-05,3.1412e-05,2.5126e-05,3.4577e-05,1.1741e-05,7.4845e-07,5.0136e-07,3.2668e-05
63.1500,4.8365e-07,4.0628e-05,5.0774e-05,3.0702e-05,2.3771e-05,3.6891e-05,1.2767e-05,8.5660e-07,5.0957e-07,3.3057e-05
64.1440,3.1946e-07,3.2150e-05,5.1440e-05,2.9374e-05,2.2185e-05,3.9246e-05,1.3822e-05,9.9477e-07,5.1618e-07,3.3534e-05
65.1390,2.8456e-07,2.4277e-05,5.2229e-05,2.6774e-05,2.0456e-05,4.1467e-05,1.4993e-05,1.1152e-06,3.7491e-07,3.3959e-05
66.1330,2.7833e-07,1.9366e-05,5.3206e-05,2.4177e-05,1.8648e-05,4.3562e-05,1.6265e-05,1.3309e-06,3.6925e-07,3.4738e-05
67.1280,2.8303e-07,1.3542e-05,5.3426e-05,2.4265e-05,1.6893e-05,4.5108e-05,1.7649e-05,1.5424e-06,3.6125e-07,3.4997e-05
68.1220,2.8115e-07,1.1620e-05,5.2621e-05,2.4941e-05,1.5414e-05,4.5836e-05,1.9064e-05,1.6433e-06,3.5153e-07,3.5043e-05
69.1170,2.6782e-07,8.7900e-06,5.2672e-05,2.5115e-05,1.3946e-05,4.5894e-05,2.0332e-05,1.7065e-06,3.4208e-07,3.4762e-05
70.1110,2.4241e-07,6.1778e-06,5.0291e-05,2.4887e-05,1.3458e-05,4.5433e-05,2.1443e-05,1.7445e-06,3.2924e-07,3.4554e-05
71.1060,2.1001e-07,4.1405e-06,4.9404e-05,2.4080e-05,1.3175e-05,4.4253e-05,2.1862e-05,1.7370e-06,3.0463e-07,3.4134e-05
72.1000,1.7784e-07,4.3550e-06,4.4107e-05,2.2065e-05,1.2755e-05,4.2382e-05,2.1037e-05,1.6781e-06,2.9262e-07,3.3404e-05
73.0940,1.3437e-07,4.1136e-06,2.5401e-05,2.2256e-05,1.2205e-05,3.9483e-05,1.9122e-05,1.5377e-06,2.9447e-07,3.1845e-05
74.0890,9.2039e-08,3.4965e-06,1.7400e-05,3.1713e-05,1.2314e-05,3.4807e-05,1.6626e-05,1.2802e-06,3.1265e-07,3.4036e-05
75.0830,6.2928e-08,2.6655e-06,1.9780e-05,3.9106e-05,1.3564e-05,2.9756e-05,1.3418e-05,9.2072e-07,3.4124e-07,3.4626e-05
76.0780,4.5095e-08,1.9646e-06,1.8796e-05,3.8494e-05,1.9012e-05,2.5699e-05,9.8792e-06,6.9274e-07,3.7617e-07,3.0904e-05
77.0720,3.4093e-08,1.3958e-06,1.6565e-05,2.8163e-05,2.5286e-05,2.1918e-05,6.1194e-06,8.3792e-07,4.3690e-07,2.5392e-05
78.0670,2.4153e-08,9.1672e-07,1.3879e-05,2.0583e-05,2.6472e-05,1.8948e-05,3.8544e-06,7.9523e-07,4.3848e-07,2.1938e-05
79.0610,1.5183e-08,5.1006e-07,1.1239e-05,1.5306e-05,1.9504e-05,2.0036e-05,3.7935e-06,7.0076e-07,4.2197e-07,1.8370e-05
80.0560,8.7795e-09,2.3467e-07,8.8128e-06,1.1184e-05,1.6168e-05,2.3755e-05,3.8372e-06,6.0220e-07,3.9906e-07,1.6851e-05
81.0500,5.3085e-09,1.0875e-07,6.6863e-06,8.2447e-06,9.3749e-06,2.6687e-05,6.7320e-06,5.6495e-07,3.7563e-07,1.6955e-05
82.0440,3.0346e-09,4.4206e-08,4.4857e-06,5.8848e-06,5.6055e-06,1.1959e-05,1.0733e-05,7.1867e-07,2.8515e-07,1.2727e-05
83.0390,1.1401e-09,2.1782e-09,2.5552e-06,4.1994e-06,3.5821e-06,3.3256e-06,1.5944e-05,1.0944e-06,2.0394e-07,1.0887e-05
84.0330,3.6873e-10,4.7050e-10,1.4634e-06,2.4574e-06,2.1677e-06,8.1157e-07,7.0904e-06,1.4968e-06,1.8015e-07,5.2316e-06
85.0280,4.2084e-10,4.0937e-10,9.5858e-07,1.4074e-06,1.1890e-06,1.2810e-07,1.3854e-06,2.3911e-06,2.9994e-07,2.0110e-06
86.0220,1.4544e-10,1.1722e-10,5.9543e-07,9.0449e-07,7.0690e-07,4.0376e-08,9.0207e-08,6.2020e-07,1.9382e-07,8.6465e-07
87.0170,9.6845e-11,2.9357e-11,2.2470e-07,3.8793e-07,2.6517e-07,1.3683e-08,4.1729e-08,4.1590e-08,2.6590e-07,3.8131e-07
88.0110,3.5400e-11,4.8668e-12,8.9092e-08,1.2251e-07,1.0069e-07,7.7139e-09,2.6256e-08,1.8821e-08,9.1122e-08,1.4479e-07
89.0060,7.6466e-13,2.5125e-14,2.3699e-08,2.9212e-08,8.8999e-09,1.1609e-09,8.8455e-09,6.7387e-09,6.0657e-09,2.3244e-08
