# Drift and bounce averaged energy diffusion coefficients in s^(-1) in figure 16h for E = 5000.0keV, L* = 4.5 and Kp = 5
# Pitch Angle, 2.01 <= fpe/fce < 2.53, 2.53 <= fpe/fce < 3.19, 3.19 <= fpe/fce < 4.03, 4.03 <= fpe/fce < 5.08, 5.08 <= fpe/fce < 6.40, 6.40 <= fpe/fce < 8.08, 8.08 <= fpe/fce < 10.19, 10.19 <= fpe/fce < 12.85, 12.85 <= fpe/fce < 16.20, Average over fpe/fce
55.1940,9.2628e-09,2.9999e-07,2.3574e-08,1.6726e-08,1.5594e-08,6.2378e-09,4.0748e-10,1.9697e-10,3.8628e-10,6.7090e-08
56.1890,1.2528e-08,2.9877e-07,2.4619e-08,1.7516e-08,1.5469e-08,6.2804e-09,4.1260e-10,1.8942e-10,3.7217e-10,6.4272e-08
57.1830,1.7861e-08,2.9879e-07,2.6106e-08,1.8737e-08,1.5389e-08,6.3878e-09,4.2275e-10,1.8134e-10,3.5636e-10,6.0721e-08
58.1780,2.0824e-08,2.9880e-07,2.7613e-08,2.0388e-08,1.5338e-08,6.6087e-09,4.4441e-10,1.7150e-10,3.3849e-10,5.5518e-08
59.1720,2.2215e-08,3.0266e-07,3.0976e-08,2.2846e-08,1.5429e-08,7.0439e-09,4.9271e-10,1.5975e-10,3.1572e-10,4.5783e-08
60.1670,3.3513e-08,3.0465e-07,3.2774e-08,2.5723e-08,1.5523e-08,7.2556e-09,5.1283e-10,1.4827e-10,2.9407e-10,4.4983e-08
61.1610,3.8870e-08,3.0085e-07,3.4755e-08,2.9491e-08,1.5328e-08,7.2391e-09,5.0989e-10,1.3742e-10,2.7297e-10,5.1886e-08
62.1560,3.9690e-08,2.9863e-07,3.6350e-08,3.4603e-08,1.5345e-08,7.2737e-09,5.1943e-10,1.2592e-10,2.4824e-10,5.6094e-08
63.1500,5.4224e-08,3.0373e-07,3.8714e-08,3.9561e-08,1.5311e-08,7.3725e-09,5.4316e-10,1.1380e-10,2.1980e-10,6.9200e-08
64.1440,6.7414e-08,3.0185e-07,4.1866e-08,4.6651e-08,1.5295e-08,7.5571e-09,5.8993e-10,9.9724e-11,1.8491e-10,8.2510e-08
65.1390,1.0621e-07,2.9857e-07,4.6057e-08,5.8608e-08,1.5062e-08,7.8668e-09,6.8983e-10,7.6257e-11,1.2498e-10,1.1519e-07
