3.0626e-01,2.4140e+01,3.3011e+01,3.2096e+02,1.5825e+01,1.3712e+02,7.2691e+02,2.9285e+02,2.8056e+02,2.5836e+02,4.7921e+01,2.2035e+02,8.4582e+01,1.9680e+02,2.3518e+02,1.3209e+02,1.6462e+02,3.9084e+01,6.6258e+01,8.4624e+00,3.8148e-01,0.0000e+00,8.8478e-01,1.4255e+00
2.5642e+00,1.7091e+01,1.7202e+02,1.4668e+03,6.2221e+01,3.3839e+02,5.0630e+02,4.9010e+02,6.7920e+02,7.6193e+02,6.2619e+01,1.5010e+02,2.8963e+02,1.0674e+02,1.5235e+02,4.0588e+02,4.2035e+01,5.5806e+01,nan,4.9014e-01,5.2430e-01,0.0000e+00,2.7256e+00,1.0284e+01
9.3931e+01,1.1041e+03,3.5023e+02,8.0707e+02,1.8160e+01,1.6138e+02,6.2873e+02,6.1805e+02,6.3670e+02,4.9550e+02,9.0655e+01,2.2527e+02,2.8390e+02,1.2566e+02,1.7231e+02,2.6439e+02,6.2732e+01,6.0790e+01,3.6043e+00,1.2326e+01,3.2251e-01,0.0000e+00,1.8936e-02,1.1895e+01
1.5544e+02,1.0755e+03,2.7536e+02,1.0812e+03,2.1135e+02,7.6733e+02,5.4323e+02,3.1029e+02,8.8163e+02,2.4849e+03,5.2584e+02,3.2571e+02,4.0547e+02,5.8499e+01,6.7360e+01,7.9565e+01,6.0280e+01,6.5034e+01,0.0000e+00,5.7045e-01,9.8060e-02,3.5979e+01,9.7602e-01,2.4505e+01
1.2271e+03,8.4256e+02,2.9264e+02,3.3812e+02,7.2514e+01,9.0773e+01,2.6776e+02,8.5181e+01,1.9803e+03,1.2366e+03,1.4710e+03,1.0087e+03,4.4681e+02,8.6736e+01,4.0919e+02,9.3606e+01,9.4657e+01,1.5012e+02,2.9675e+00,5.6007e-01,2.1912e-01,3.5012e+01,1.3498e+02,3.3198e+01
5.9284e+02,9.5451e+02,7.3925e+02,2.6886e+02,1.1585e+03,3.8314e+02,6.2826e+02,2.0182e+03,1.4936e+03,9.1539e+02,1.9899e+03,4.0170e+02,5.2088e+02,5.4702e+01,2.6828e+02,6.7195e+02,8.7856e+00,3.0590e+02,5.9680e-01,2.1445e+00,2.8697e+00,1.5982e+02,1.2096e+01,2.4112e+01
5.5265e+02,1.9303e+02,1.4651e+03,3.0643e+02,1.9449e+02,2.7979e+02,5.5984e+02,2.1952e+03,5.6928e+02,2.1212e+03,7.3653e+02,8.7212e+02,7.6915e+02,1.1330e+02,1.1572e+02,6.9925e+02,6.4246e+02,2.7504e+02,0.0000e+00,4.3350e+00,8.0029e-02,1.0733e+02,2.2766e+01,6.6683e+00
7.3096e+02,2.5881e+02,7.1924e+02,7.8292e+02,2.1747e+03,2.2231e+02,6.9844e+02,1.4874e+03,1.3135e+03,1.2572e+03,6.3955e+02,7.9960e+02,5.9104e+02,1.5245e+02,9.3318e+01,4.9187e+02,1.7469e+03,3.3040e+01,2.8666e-01,2.3718e+00,1.2341e-01,2.8620e+01,2.1970e+02,1.8005e+01
5.4449e+02,9.6277e+01,1.5615e+03,1.9532e+03,3.6229e+02,8.2619e+02,6.0863e+02,6.3920e+02,5.7005e+02,7.3148e+02,7.0521e+02,5.4431e+02,5.0754e+02,2.0757e+02,2.4519e+02,1.6689e+03,nan,5.3434e+01,2.8707e-01,8.3800e-01,5.6554e-02,2.7116e-02,6.8295e+00,1.1720e+02
4.6908e+02,1.9390e+02,8.0617e+02,2.6162e+03,3.0458e+02,2.6113e+02,8.7350e+02,9.1843e+02,2.8371e+02,9.9912e+02,1.0046e+03,7.7328e+02,1.3169e+03,4.1519e+02,4.1190e+02,5.9271e+02,2.3271e+03,3.3055e+02,1.7753e-01,3.6868e+01,4.0213e-01,2.4209e+00,3.0646e+01,3.2051e+01
1.5397e+02,2.2002e+02,2.0820e+03,1.2886e+03,7.5590e+02,7.6465e+02,1.4969e+03,1.8329e+03,2.7091e+02,9.1116e+02,7.7722e+02,1.1192e+02,8.9838e+01,1.9842e+02,5.5283e+02,2.1814e+01,1.8039e+03,nan,6.9298e-01,2.4203e+00,3.8430e-03,2.6892e+00,4.2614e+00,9.9109e+00
5.2471e+02,3.3239e+02,1.3223e+02,6.2097e+02,9.3875e+02,5.2033e+02,1.2814e+02,8.5369e+02,1.2485e+02,1.6406e+03,1.0943e+03,8.5796e+00,1.1511e+02,3.1742e+01,6.3090e+02,5.1171e+02,1.1738e+02,nan,1.2586e-01,1.8549e-01,0.0000e+00,7.1443e-01,1.5674e-02,1.8444e+01
1.2698e+02,3.8123e+02,1.2572e+02,3.4145e+02,1.6858e+03,2.7584e+02,1.0391e-02,3.2972e+00,2.7428e+00,nan,nan,nan,1.6350e+00,2.9898e+00,1.9641e+01,nan,nan,nan,5.4758e-01,6.7948e-02,9.0955e-03,3.3231e-01,1.7650e+00,1.7769e+02
2.8883e+00,2.6418e+02,1.7582e+02,8.6517e+02,7.8863e+02,2.1682e+02,nan,1.4612e-02,nan,nan,nan,nan,nan,nan,1.1473e+01,nan,nan,nan,4.7937e-02,7.8920e-02,0.0000e+00,1.0030e-01,6.5974e-01,7.1985e+01
1.2354e+01,8.4654e+01,1.4220e+02,4.2655e+02,1.3166e+03,6.0005e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.8710e-02,3.0703e+00,5.3452e-03,1.4161e+00,1.1391e+02
3.6130e+01,3.9122e+00,6.6277e+02,3.9026e+01,3.0278e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.2066e-01,6.8421e-02,9.0074e-01,3.8140e+00,1.1313e+02
7.2981e+02,0.0000e+00,3.7942e+02,1.3658e+01,1.7587e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.3822e+02,1.5644e+00,1.0702e-02,0.0000e+00,1.0446e+02,2.7897e+02
7.9891e+01,0.0000e+00,1.6430e+02,1.5931e-01,1.2479e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.5244e-02,0.0000e+00,4.5436e-01,2.9943e+00
